service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20150924,20160402
2,0,0,0,0,1,0,0,20150924,20160402
3,0,0,0,0,0,1,1,20150924,20160402
4,0,0,0,0,0,1,0,20150924,20160402
5,0,0,0,0,0,0,1,20150924,20160402
4866,0,0,0,0,0,0,0,20150924,20160402
4873,0,0,0,0,0,0,0,20150924,20160402
4874,0,0,0,0,0,0,0,20150924,20160402
4962,0,0,0,0,0,0,0,20150924,20160402
4968,0,0,0,0,0,0,0,20150924,20160402
4969,0,0,0,0,0,0,0,20150924,20160402
4970,0,0,0,0,0,0,0,20150924,20160402
4971,0,0,0,0,0,0,0,20150924,20160402
4972,0,0,0,0,0,0,0,20150924,20160402
4973,0,0,0,0,0,0,0,20150924,20160402
4974,0,0,0,0,0,0,0,20150924,20160402
4975,0,0,0,0,0,0,0,20150924,20160402
