service_id,date,exception_type
1,20150924,2
4866,20150924,1
1,20151002,2
2,20151002,2
4873,20151002,1
3,20150926,2
4,20150926,2
3,20151003,2
4,20151003,2
4874,20150926,1
4874,20151003,1
3,20150927,2
5,20150927,2
4962,20150927,1
1,20151006,2
1,20151007,2
1,20151008,2
1,20151013,2
1,20151014,2
1,20151015,2
1,20151020,2
1,20151021,2
1,20151022,2
1,20151027,2
1,20151028,2
1,20151029,2
1,20151103,2
1,20151104,2
1,20151105,2
1,20151110,2
1,20151111,2
1,20151112,2
4968,20151006,1
4968,20151007,1
4968,20151008,1
4968,20151013,1
4968,20151014,1
4968,20151015,1
4968,20151020,1
4968,20151021,1
4968,20151022,1
4968,20151027,1
4968,20151028,1
4968,20151029,1
4968,20151103,1
4968,20151104,1
4968,20151105,1
4968,20151110,1
4968,20151111,1
4968,20151112,1
1,20151009,2
2,20151009,2
1,20151016,2
2,20151016,2
1,20151023,2
2,20151023,2
1,20151030,2
2,20151030,2
1,20151106,2
2,20151106,2
1,20151113,2
2,20151113,2
4969,20151009,1
4969,20151016,1
4969,20151023,1
4969,20151030,1
4969,20151106,1
4969,20151113,1
1,20151005,2
1,20151012,2
1,20151019,2
1,20151026,2
1,20151102,2
1,20151109,2
4970,20151005,1
4970,20151012,1
4970,20151019,1
4970,20151026,1
4970,20151102,1
4970,20151109,1
3,20151004,2
5,20151004,2
3,20151011,2
5,20151011,2
3,20151018,2
5,20151018,2
3,20151025,2
5,20151025,2
3,20151101,2
5,20151101,2
3,20151108,2
5,20151108,2
3,20151115,2
5,20151115,2
4971,20151004,1
4971,20151011,1
4971,20151018,1
4971,20151025,1
4971,20151101,1
4971,20151108,1
4971,20151115,1
3,20151010,2
4,20151010,2
3,20151017,2
4,20151017,2
3,20151024,2
4,20151024,2
3,20151031,2
4,20151031,2
3,20151107,2
4,20151107,2
3,20151114,2
4,20151114,2
4972,20151010,1
4972,20151017,1
4972,20151024,1
4972,20151031,1
4972,20151107,1
4972,20151114,1
1,20150929,2
1,20150930,2
1,20151001,2
4973,20150929,1
4973,20150930,1
4973,20151001,1
1,20150928,2
4974,20150928,1
1,20150925,2
2,20150925,2
4975,20150925,1
