trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
6540554,07:04:00,07:04:00,108,1,0,0
6540554,07:07:00,07:07:00,106,2,0,0
6540554,07:10:00,07:10:00,105,3,0,0
6540554,07:26:00,07:26:00,4,4,1,0
6540554,07:39:00,07:39:00,1,5,0,0
6540555,07:29:00,07:29:00,112,1,0,0
6540555,07:32:00,07:32:00,111,2,0,0
6540555,07:36:00,07:36:00,110,3,0,0
6540555,08:10:00,08:10:00,1,4,0,0
6540556,07:51:00,07:51:00,108,1,0,0
6540556,07:54:00,07:54:00,106,2,0,0
6540556,07:57:00,07:57:00,105,3,0,0
6540556,08:13:00,08:13:00,4,4,1,0
6540556,08:26:00,08:26:00,1,5,0,0
6540557,08:17:00,08:17:00,108,1,0,0
6540557,08:20:00,08:20:00,106,2,0,0
6540557,08:23:00,08:23:00,105,3,0,0
6540557,08:39:00,08:39:00,4,4,1,0
6540557,08:52:00,08:52:00,1,5,0,0
6540558,08:14:00,08:14:00,112,1,0,0
6540558,08:17:00,08:17:00,111,2,0,0
6540558,08:20:00,08:20:00,110,3,0,0
6540558,08:41:00,08:41:00,4,4,1,0
6540558,08:54:00,08:54:00,1,5,0,0
6540559,08:34:00,08:34:00,112,1,0,0
6540559,08:37:00,08:37:00,111,2,0,0
6540559,08:40:00,08:40:00,110,3,0,0
6540559,08:44:00,08:44:00,108,4,0,0
6540559,08:47:00,08:47:00,106,5,0,0
6540559,08:50:00,08:50:00,105,6,0,0
6540559,09:18:00,09:18:00,1,7,0,0
6540560,08:52:00,08:52:00,112,1,0,0
6540560,08:55:00,08:55:00,111,2,0,0
6540560,08:58:00,08:58:00,110,3,0,0
6540560,09:02:00,09:02:00,108,4,0,0
6540560,09:05:00,09:05:00,106,5,0,0
6540560,09:08:00,09:08:00,105,6,0,0
6540560,09:17:00,09:17:00,56,7,1,0
6540560,09:26:00,09:26:00,4,8,1,0
6540560,09:38:00,09:38:00,1,9,0,0
6540561,09:26:00,09:26:00,112,1,0,0
6540561,09:29:00,09:29:00,111,2,0,0
6540561,09:32:00,09:32:00,110,3,0,0
6540561,09:36:00,09:36:00,108,4,0,0
6540561,09:39:00,09:39:00,106,5,0,0
6540561,09:42:00,09:42:00,105,6,0,0
6540561,09:52:00,09:52:00,56,7,1,0
6540561,10:00:00,10:00:00,4,8,1,0
6540561,10:11:00,10:11:00,1,9,0,0
6540562,09:53:00,09:53:00,112,1,0,0
6540562,09:56:00,09:56:00,111,2,0,0
6540562,09:59:00,09:59:00,110,3,0,0
6540562,10:03:00,10:03:00,108,4,0,0
6540562,10:06:00,10:06:00,106,5,0,0
6540562,10:09:00,10:09:00,105,6,0,0
6540562,10:19:00,10:19:00,56,7,1,0
6540562,10:27:00,10:27:00,4,8,1,0
6540562,10:38:00,10:38:00,1,9,0,0
6540564,10:23:00,10:23:00,112,1,0,0
6540564,10:26:00,10:26:00,111,2,0,0
6540564,10:29:00,10:29:00,110,3,0,0
6540564,10:33:00,10:33:00,108,4,0,0
6540564,10:36:00,10:36:00,106,5,0,0
6540564,10:39:00,10:39:00,105,6,0,0
6540564,10:49:00,10:49:00,56,7,1,0
6540564,10:57:00,10:57:00,4,8,1,0
6540564,11:08:00,11:08:00,1,9,0,0
6540573,17:15:00,17:15:00,112,1,0,0
6540573,17:18:00,17:18:00,111,2,0,0
6540573,17:21:00,17:21:00,110,3,0,0
6540573,17:25:00,17:25:00,108,4,0,0
6540573,17:28:00,17:28:00,106,5,0,0
6540573,17:31:00,17:31:00,105,6,0,0
6540573,17:41:00,17:41:00,56,7,1,0
6540573,17:49:00,17:49:00,4,8,1,0
6540573,18:04:00,18:04:00,1,9,0,0
6540575,18:22:00,18:22:00,112,1,0,0
6540575,18:25:00,18:25:00,111,2,0,0
6540575,18:28:00,18:28:00,110,3,0,0
6540575,18:32:00,18:32:00,108,4,0,0
6540575,18:35:00,18:35:00,106,5,0,0
6540575,18:38:00,18:38:00,105,6,0,0
6540575,18:48:00,18:48:00,56,7,1,0
6540575,18:56:00,18:56:00,4,8,1,0
6540575,19:08:00,19:08:00,1,9,0,0
6540576,00:04:00,00:04:00,124,1,0,0
6540576,00:07:00,00:07:00,121,2,0,0
6540576,00:09:00,00:09:00,120,3,0,0
6540576,00:11:00,00:11:00,118,4,0,0
6540576,00:14:00,00:14:00,116,5,0,0
6540576,00:18:00,00:18:00,115,6,0,0
6540576,00:21:00,00:21:00,114,7,0,0
6540576,00:25:00,00:25:00,112,8,0,0
6540576,00:28:00,00:28:00,111,9,0,0
6540576,00:31:00,00:31:00,110,10,0,0
6540576,00:35:00,00:35:00,108,11,0,0
6540576,00:38:00,00:38:00,106,12,0,0
6540576,00:41:00,00:41:00,105,13,0,0
6540576,00:51:00,00:51:00,56,14,1,0
6540576,01:03:00,01:03:00,4,15,1,0
6540576,01:14:00,01:14:00,1,16,0,0
6540578,04:42:00,04:42:00,124,1,0,0
6540578,04:45:00,04:45:00,121,2,0,0
6540578,04:47:00,04:47:00,120,3,0,0
6540578,04:49:00,04:49:00,118,4,0,0
6540578,04:52:00,04:52:00,116,5,0,0
6540578,04:56:00,04:56:00,115,6,0,0
6540578,04:59:00,04:59:00,114,7,0,0
6540578,05:03:00,05:03:00,112,8,0,0
6540578,05:06:00,05:06:00,111,9,0,0
6540578,05:09:00,05:09:00,110,10,0,0
6540578,05:13:00,05:13:00,108,11,0,0
6540578,05:16:00,05:16:00,106,12,0,0
6540578,05:19:00,05:19:00,105,13,0,0
6540578,05:27:00,05:27:00,56,14,1,0
6540578,05:36:00,05:36:00,4,15,1,0
6540578,05:47:00,05:47:00,1,16,0,0
6540580,05:15:00,05:15:00,124,1,0,0
6540580,05:18:00,05:18:00,121,2,0,0
6540580,05:20:00,05:20:00,120,3,0,0
6540580,05:22:00,05:22:00,118,4,0,0
6540580,05:25:00,05:25:00,116,5,0,0
6540580,05:29:00,05:29:00,115,6,0,0
6540580,05:32:00,05:32:00,114,7,0,0
6540580,05:36:00,05:36:00,112,8,0,0
6540580,05:39:00,05:39:00,111,9,0,0
6540580,05:42:00,05:42:00,110,10,0,0
6540580,05:46:00,05:46:00,108,11,0,0
6540580,05:49:00,05:49:00,106,12,0,0
6540580,05:52:00,05:52:00,105,13,0,0
6540580,06:00:00,06:00:00,56,14,1,0
6540580,06:09:00,06:09:00,4,15,1,0
6540580,06:20:00,06:20:00,1,16,0,0
6540582,05:34:00,05:34:00,124,1,0,0
6540582,05:37:00,05:37:00,121,2,0,0
6540582,05:39:00,05:39:00,120,3,0,0
6540582,05:41:00,05:41:00,118,4,0,0
6540582,05:44:00,05:44:00,116,5,0,0
6540582,05:48:00,05:48:00,115,6,0,0
6540582,05:51:00,05:51:00,114,7,0,0
6540582,05:55:00,05:55:00,112,8,0,0
6540582,05:58:00,05:58:00,111,9,0,0
6540582,06:01:00,06:01:00,110,10,0,0
6540582,06:05:00,06:05:00,108,11,0,0
6540582,06:08:00,06:08:00,106,12,0,0
6540582,06:11:00,06:11:00,105,13,0,0
6540582,06:20:00,06:20:00,56,14,1,0
6540582,06:29:00,06:29:00,4,15,1,0
6540582,06:40:00,06:40:00,1,16,0,0
6540584,05:56:00,05:56:00,124,1,0,0
6540584,05:59:00,05:59:00,121,2,0,0
6540584,06:01:00,06:01:00,120,3,0,0
6540584,06:04:00,06:04:00,118,4,0,0
6540584,06:07:00,06:07:00,116,5,0,0
6540584,06:11:00,06:11:00,115,6,0,0
6540584,06:14:00,06:14:00,114,7,0,0
6540584,06:18:00,06:18:00,112,8,0,0
6540584,06:21:00,06:21:00,111,9,0,0
6540584,06:24:00,06:24:00,110,10,0,0
6540584,06:28:00,06:28:00,108,11,0,0
6540584,06:31:00,06:31:00,106,12,0,0
6540584,06:34:00,06:34:00,105,13,0,0
6540584,06:43:00,06:43:00,56,14,1,0
6540584,06:52:00,06:52:00,4,15,1,0
6540584,07:03:00,07:03:00,1,16,0,0
6540586,06:15:00,06:15:00,124,1,0,0
6540586,06:18:00,06:18:00,121,2,0,0
6540586,06:20:00,06:20:00,120,3,0,0
6540586,06:23:00,06:23:00,118,4,0,0
6540586,06:26:00,06:26:00,116,5,0,0
6540586,06:30:00,06:30:00,115,6,0,0
6540586,06:33:00,06:33:00,114,7,0,0
6540586,06:37:00,06:37:00,112,8,0,0
6540586,06:40:00,06:40:00,111,9,0,0
6540586,06:43:00,06:43:00,110,10,0,0
6540586,06:47:00,06:47:00,108,11,0,0
6540586,06:50:00,06:50:00,106,12,0,0
6540586,06:53:00,06:53:00,105,13,0,0
6540586,07:02:00,07:02:00,56,14,1,0
6540586,07:11:00,07:11:00,4,15,1,0
6540586,07:23:00,07:23:00,1,16,0,0
6540588,06:32:00,06:32:00,124,1,0,0
6540588,06:35:00,06:35:00,121,2,0,0
6540588,06:38:00,06:38:00,120,3,0,0
6540588,06:41:00,06:41:00,118,4,0,0
6540588,06:44:00,06:44:00,116,5,0,0
6540588,06:48:00,06:48:00,115,6,0,0
6540588,06:51:00,06:51:00,114,7,0,0
6540588,07:17:00,07:17:00,4,8,1,0
6540588,07:30:00,07:30:00,1,9,0,0
6540590,07:02:00,07:02:00,112,1,0,0
6540590,07:06:00,07:06:00,111,2,0,0
6540590,07:10:00,07:10:00,110,3,0,0
6540590,07:32:00,07:32:00,4,4,1,0
6540590,07:45:00,07:45:00,1,5,0,0
6540592,06:49:00,06:49:00,124,1,0,0
6540592,06:52:00,06:52:00,121,2,0,0
6540592,06:55:00,06:55:00,120,3,0,0
6540592,06:58:00,06:58:00,118,4,0,0
6540592,07:01:00,07:01:00,116,5,0,0
6540592,07:05:00,07:05:00,115,6,0,0
6540592,07:08:00,07:08:00,114,7,0,0
6540592,07:35:00,07:35:00,4,8,1,0
6540592,07:48:00,07:48:00,1,9,0,0
6540594,07:22:00,07:22:00,108,1,0,0
6540594,07:26:00,07:26:00,106,2,0,0
6540594,07:30:00,07:30:00,105,3,0,0
6540594,07:59:00,07:59:00,1,4,0,0
6540597,06:56:00,06:56:00,124,1,0,0
6540597,06:59:00,06:59:00,121,2,0,0
6540597,07:01:00,07:01:00,120,3,0,0
6540597,07:04:00,07:04:00,118,4,0,0
6540597,07:07:00,07:07:00,116,5,0,0
6540597,07:11:00,07:11:00,115,6,0,0
6540597,07:14:00,07:14:00,114,7,0,0
6540597,07:19:00,07:19:00,112,8,0,0
6540597,07:22:00,07:22:00,111,9,0,0
6540597,07:25:00,07:25:00,110,10,0,0
6540597,07:29:00,07:29:00,108,11,0,0
6540597,07:32:00,07:32:00,106,12,0,0
6540597,07:35:00,07:35:00,105,13,0,0
6540597,07:44:00,07:44:00,56,14,1,0
6540597,07:53:00,07:53:00,4,15,1,0
6540597,08:06:00,08:06:00,1,16,0,0
6540600,07:31:00,07:31:00,116,1,0,0
6540600,07:35:00,07:35:00,115,2,0,0
6540600,07:39:00,07:39:00,114,3,0,0
6540600,08:06:00,08:06:00,4,4,1,0
6540600,08:19:00,08:19:00,1,5,0,0
6540602,07:49:00,07:49:00,112,1,0,0
6540602,07:53:00,07:53:00,111,2,0,0
6540602,07:57:00,07:57:00,110,3,0,0
6540602,08:31:00,08:31:00,1,4,0,0
6540605,07:42:00,07:42:00,124,1,0,0
6540605,07:50:00,07:50:00,116,2,0,0
6540605,07:54:00,07:54:00,115,3,0,0
6540605,07:58:00,07:58:00,114,4,0,0
6540605,08:02:00,08:02:00,112,5,0,0
6540605,08:19:00,08:19:00,56,6,1,0
6540605,08:28:00,08:28:00,4,7,1,0
6540605,08:41:00,08:41:00,1,8,0,0
6540607,08:04:00,08:04:00,124,1,0,0
6540607,08:07:00,08:07:00,121,2,0,0
6540607,08:10:00,08:10:00,120,3,0,0
6540607,08:13:00,08:13:00,118,4,0,0
6540607,08:16:00,08:16:00,116,5,0,0
6540607,08:20:00,08:20:00,115,6,0,0
6540607,08:23:00,08:23:00,114,7,0,0
6540607,09:02:00,09:02:00,1,8,0,0
6540609,07:59:00,07:59:00,124,1,0,0
6540609,08:02:00,08:02:00,121,2,0,0
6540609,08:04:00,08:04:00,120,3,0,0
6540609,08:07:00,08:07:00,118,4,0,0
6540609,08:10:00,08:10:00,116,5,0,0
6540609,08:14:00,08:14:00,115,6,0,0
6540609,08:17:00,08:17:00,114,7,0,0
6540609,08:22:00,08:22:00,112,8,0,0
6540609,08:25:00,08:25:00,111,9,0,0
6540609,08:28:00,08:28:00,110,10,0,0
6540609,08:32:00,08:32:00,108,11,0,0
6540609,08:35:00,08:35:00,106,12,0,0
6540609,08:38:00,08:38:00,105,13,0,0
6540609,08:48:00,08:48:00,56,14,1,0
6540609,08:57:00,08:57:00,4,15,1,0
6540609,09:10:00,09:10:00,1,16,0,0
6540612,08:59:00,08:59:00,124,1,0,0
6540612,09:02:00,09:02:00,121,2,0,0
6540612,09:04:00,09:04:00,120,3,0,0
6540612,09:07:00,09:07:00,118,4,0,0
6540612,09:10:00,09:10:00,116,5,0,0
6540612,09:14:00,09:14:00,115,6,0,0
6540612,09:17:00,09:17:00,114,7,0,0
6540612,09:21:00,09:21:00,112,8,0,0
6540612,09:45:00,09:45:00,4,9,1,0
6540612,09:57:00,09:57:00,1,10,0,0
6540614,09:27:00,09:27:00,124,1,0,0
6540614,09:30:00,09:30:00,121,2,0,0
6540614,09:32:00,09:32:00,120,3,0,0
6540614,09:35:00,09:35:00,118,4,0,0
6540614,09:38:00,09:38:00,116,5,0,0
6540614,09:42:00,09:42:00,115,6,0,0
6540614,09:45:00,09:45:00,114,7,0,0
6540614,09:49:00,09:49:00,112,8,0,0
6540614,10:07:00,10:07:00,56,9,1,0
6540614,10:15:00,10:15:00,4,10,1,0
6540614,10:26:00,10:26:00,1,11,0,0
6540617,10:14:00,10:14:00,124,1,0,0
6540617,10:17:00,10:17:00,121,2,0,0
6540617,10:19:00,10:19:00,120,3,0,0
6540617,10:22:00,10:22:00,118,4,0,0
6540617,10:25:00,10:25:00,116,5,0,0
6540617,10:29:00,10:29:00,115,6,0,0
6540617,10:32:00,10:32:00,114,7,0,0
6540617,10:53:00,10:53:00,56,8,1,0
6540617,11:01:00,11:01:00,4,9,1,0
6540617,11:12:00,11:12:00,1,10,0,0
6540618,10:32:00,10:32:00,124,1,0,0
6540618,10:35:00,10:35:00,121,2,0,0
6540618,10:37:00,10:37:00,120,3,0,0
6540618,10:39:00,10:39:00,118,4,0,0
6540618,10:42:00,10:42:00,116,5,0,0
6540618,10:46:00,10:46:00,115,6,0,0
6540618,10:49:00,10:49:00,114,7,0,0
6540618,10:53:00,10:53:00,112,8,0,0
6540618,10:56:00,10:56:00,111,9,0,0
6540618,10:59:00,10:59:00,110,10,0,0
6540618,11:03:00,11:03:00,108,11,0,0
6540618,11:06:00,11:06:00,106,12,0,0
6540618,11:09:00,11:09:00,105,13,0,0
6540618,11:19:00,11:19:00,56,14,1,0
6540618,11:28:00,11:28:00,4,15,1,0
6540618,11:39:00,11:39:00,1,16,0,0
6540619,11:02:00,11:02:00,124,1,0,0
6540619,11:05:00,11:05:00,121,2,0,0
6540619,11:07:00,11:07:00,120,3,0,0
6540619,11:09:00,11:09:00,118,4,0,0
6540619,11:12:00,11:12:00,116,5,0,0
6540619,11:16:00,11:16:00,115,6,0,0
6540619,11:19:00,11:19:00,114,7,0,0
6540619,11:23:00,11:23:00,112,8,0,0
6540619,11:26:00,11:26:00,111,9,0,0
6540619,11:29:00,11:29:00,110,10,0,0
6540619,11:33:00,11:33:00,108,11,0,0
6540619,11:36:00,11:36:00,106,12,0,0
6540619,11:39:00,11:39:00,105,13,0,0
6540619,11:49:00,11:49:00,56,14,1,0
6540619,11:58:00,11:58:00,4,15,1,0
6540619,12:09:00,12:09:00,1,16,0,0
6540621,11:32:00,11:32:00,124,1,0,0
6540621,11:35:00,11:35:00,121,2,0,0
6540621,11:37:00,11:37:00,120,3,0,0
6540621,11:39:00,11:39:00,118,4,0,0
6540621,11:42:00,11:42:00,116,5,0,0
6540621,11:46:00,11:46:00,115,6,0,0
6540621,11:49:00,11:49:00,114,7,0,0
6540621,11:53:00,11:53:00,112,8,0,0
