route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
2,1,6541316,Southeast,699,0,,14,1
2,1,6541314,Southeast,697,0,,14,1
2,1,6541312,Southeast,695,0,,14,1
2,1,6541310,Southeast,691,0,,14,1
2,1,6541308,Southeast,689,0,,14,1
2,1,6541306,Southeast,687,0,,14,1
2,1,6541305,Southeast,685,0,,14,1
2,1,6541303,Southeast,683,0,,14,1
2,1,6541301,Southeast,681,0,,14,1
2,1,6541298,Southeast,679,0,,14,1
2,1,6541294,Southeast,675,0,,14,1
2,1,6541290,Southeast,671,0,,14,1
2,1,6541285,Southeast,667,0,,14,1
2,1,6541276,Southeast,659,0,,14,1
2,1,6541273,Southeast,655,0,,14,1
2,1,6541270,Southeast,651,0,,14,1
2,1,6541269,Southeast,649,0,,14,1
2,1,6541267,Southeast,647,0,,14,1
2,1,6541265,Southeast,645,0,,14,1
2,1,6541263,Southeast,643,0,,14,1
2,1,6541261,Southeast,641,0,,14,1
2,1,6541256,Southeast,637,0,,14,1
2,1,6541254,Southeast,635,0,,14,1
2,1,6541252,Southeast,633,0,,14,1
2,1,6541250,Southeast,631,0,,14,1
2,1,6541247,Southeast,629,0,,14,1
2,1,6541245,Southeast,627,0,,14,1
2,1,6541243,Southeast,625,0,,14,1
2,1,6541241,Southeast,621,0,,14,1
2,1,6541238,Southeast,617,0,,14,1
2,1,6541236,Southeast,615,0,,14,1
2,1,6541234,Southeast,613,0,,14,1
2,1,6541232,Southeast,611,0,,14,1
2,1,6541230,Southeast,609,0,,14,1
2,1,6541228,Southeast,607,0,,14,1
2,1,6541226,Southeast,605,0,,14,1
2,1,6541224,Southeast,603,0,,14,1
2,1,6541222,Southeast,601,0,,14,1
2,1,6541508,Southeast,998,1,,3,1
2,1,6541506,Southeast,992,1,,3,1
2,1,6541505,Southeast,988,1,,3,1
2,1,6541502,Southeast,980,1,,3,1
2,1,6541500,Southeast,972,1,,3,1
